thumb_mcp, thumb_pip, thumb_hes, index_mcp, index_pip, middle_mcp, middle_pip,Label
191.5,186.5,175.5,155.5,162,180,164.75,0
190.75,187.5,176,156,161.5,180.25,164.5,0
191.25,188.25,177.25,154.75,161.25,179.75,164.75,0
190.5,188.25,176.75,156,160.75,179.75,165,0
190.25,187.25,175.25,154.5,161.25,181.25,165.75,0
189,187,176.25,155.75,163.75,180.75,164.5,0
191.25,188.75,176.5,155,161,179.75,166.75,0
191,187.75,175.25,156,161,180.5,164.75,0
190.75,187.25,175,155.75,162.5,180.25,164.25,0
189.75,188.75,176.5,155.75,161.75,180.5,165,0
190,188.25,175.25,154.75,162.25,180.25,163.25,0
190.75,189.5,175.25,155,161.25,180.75,165,0
190.5,187.75,175.75,156.5,161.75,180.75,164.75,0
191,189,175.75,154.75,159.5,179.25,164.5,0
190.5,188.5,175,154.75,162,180,165.25,0
190.25,188.25,176,155.25,162,180.5,164.75,0
190.25,187.25,176.25,156.25,160.5,179.75,165.25,0
191.25,188.25,175.5,154.75,161.75,180.5,165.5,0
189.25,188.25,175.75,156,162,179.75,164,0
190.75,187.5,174.75,155.75,161.75,180,165.5,0
190.5,188.75,175.75,155.75,161.25,180.25,164.5,0
191.25,187.75,175,155.5,162,179.75,166.25,0
189.75,187.75,175.75,155.25,162.5,179.75,165,0
191.5,187.5,176.25,156,161.25,179.5,165.25,0
190.5,188,175.25,156,161.5,179.75,165.25,0
190.5,187.25,176.5,154.5,161.25,180.75,165.5,0
190.75,188.25,175.75,155.75,162.5,180.25,165.25,0
191,187.75,175.75,155.5,161.75,180.5,165,0
190.75,188.5,175.75,154.75,162.25,179.25,164.75,0
189.5,187.25,174.5,155.5,162.75,180.75,164.25,0
190.25,188,176,156.5,162.25,180,164.25,0
190.75,188.5,174.75,154.75,162,180,164.75,0
191,188.5,175.75,155.5,161.75,180.25,165.5,0
189.5,187.75,175.75,155.75,161.5,180.5,164.25,0
190.75,188.5,175.5,155.25,161.25,178.75,165,0
190.75,187.75,175.25,156.75,161.75,180.25,163.5,0
191,188.5,174.75,154.5,161.25,180,166,0
189.5,186.5,175.75,155.75,161.75,179.5,164,0
191,188.5,175.5,154.25,161.5,179,165.5,0
190.75,186.75,175.75,156,161.25,180.5,165.5,0
190.75,187.75,175.25,155.25,162,180,165.5,0
189.75,188,175.75,156.25,162.75,179,164.5,0
191.25,187.5,175.5,155,161.75,180,166,0
190,188.25,175.5,155.75,161.25,179.75,165,0
188.5,187.5,174.75,155.25,161.5,179.25,165.75,0
189.5,188,176,155.25,162.25,179.5,164,0
190.75,188.5,175.5,155.25,161.25,180.25,165.5,0
190.25,188.25,174.25,155.75,163.5,180.25,164,0
190.25,188.75,176,156,161.25,180.5,164.5,0
190.75,188.25,175.25,155.75,161,179.5,164.5,0
190.5,187.5,175,155,161.75,180.25,164.75,0
189.75,187.75,175.75,155.5,161.5,179,165,0
190.5,188.5,174.75,155.25,161.75,180.5,165,0
191.25,188.25,175.25,156.25,162,179.5,165.5,0
191,187.75,174.5,155,163.75,180.75,165,0
189.25,188,176.5,156.25,160.25,179.75,164.25,0
190.75,188.25,174.75,155.25,161.5,180.5,165.25,0
190,187.25,177,155,161,179.25,164.75,0
190.25,187.75,175,156.25,162.25,179.75,164.75,0
191.25,189,176.5,155.75,161,180.25,165.25,0
